Date,Name,Open,High,Low,Close,Change,%
2024-06-13,ETH,"3,554.99","3,571.96","3,429.35",3475.44,64.78999999999996,1.86
2024-06-12,ETH,"3,486.56","3,654.56","3,464.12",3554.41,78.9699999999998,2.22
2024-06-11,ETH,"3,670.51","3,675.39","3,430.48",3486.55,-67.85999999999967,-1.95
2024-06-10,ETH,"3,698.34","3,719.73","3,644.21",3670.69,184.13999999999987,5.02
2024-06-09,ETH,"3,672.91","3,709.98","3,665.69",3698.33,27.639999999999873,0.75
2024-06-08,ETH,"3,690.96","3,705.02","3,667.86",3671.54,-26.789999999999964,-0.73
2024-06-07,ETH,"3,798.28","3,837.87","3,617.40",3690.96,19.420000000000073,0.53
2024-06-06,ETH,"3,864.97","3,875.99","3,762.06",3798.28,107.32000000000016,2.83
2024-06-05,ETH,"3,807.10","3,884.41","3,778.75",3864.98,66.69999999999982,1.73
2024-06-04,ETH,"3,770.04","3,831.45","3,743.57",3807.1,-57.88000000000011,-1.52
2024-06-03,ETH,"3,784.00","3,847.67","3,758.64",3771.1,-36.0,-0.95
2024-06-02,ETH,"3,803.40","3,834.36","3,753.32",3784.0,12.900000000000091,0.34
2024-06-01,ETH,"3,789.40","3,808.00","3,740.07",3803.4,19.40000000000009,0.51
2024-05-31,ETH,"3,735.91","3,842.00","3,723.70",3788.95,-14.450000000000273,-0.38
2024-05-30,ETH,"3,749.68","3,821.56","3,702.01",3736.14,-52.809999999999945,-1.41
2024-05-29,ETH,"3,826.19","3,879.26","3,742.21",3751.59,15.450000000000273,0.41
2024-05-28,ETH,"3,889.16","3,924.15","3,771.37",3828.31,76.7199999999998,2.0
2024-05-27,ETH,"3,858.86","3,973.67","3,817.86",3887.45,59.13999999999987,1.52
2024-05-26,ETH,"3,743.41","3,879.17","3,732.50",3858.58,-28.86999999999989,-0.75
2024-05-25,ETH,"3,731.03","3,774.38","3,708.33",3744.79,-113.78999999999996,-3.04
2024-05-24,ETH,"3,760.39","3,898.12","3,630.88",3732.4,-12.389999999999873,-0.33
2024-05-23,ETH,"3,747.59","3,939.52","3,585.57",3752.49,20.08999999999969,0.54
2024-05-22,ETH,"3,746.21","3,818.81","3,655.00",3746.48,-6.0099999999997635,-0.16
2024-05-21,ETH,"3,500.69","3,836.84","3,491.20",3746.19,-0.2899999999999636,-0.01
2024-05-20,ETH,"3,074.05","3,563.99","3,050.00",3500.0,-246.19000000000005,-7.03
2024-05-19,ETH,"3,120.60","3,134.00","3,059.34",3074.05,-425.9499999999998,-13.86
2024-05-18,ETH,"3,090.36","3,144.66","3,087.13",3120.71,46.659999999999854,1.5
2024-05-17,ETH,"2,936.18","3,120.00","2,925.63",3090.36,-30.34999999999991,-0.98
